session_id	acq_date	original_filename	recording_suffix	original_run_index	duration_sec	n_deviation_trials	n_events
ses-01	2005-09-21	s02_050921m	m	n/a	3629.92	332	996
ses-02	2005-11-15	s02_051115m	m	n/a	3833.48	344	1032
