session_id	acq_date	original_filename	recording_suffix	original_run_index	duration_sec	n_deviation_trials	n_events
ses-01	2006-02-13	s13_060213m	m	n/a	3834.36	479	1437
ses-02	2006-02-17	s13_060217m	m	n/a	3540.2	269	807
