Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s01
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s02
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s04
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s05
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s06
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s09
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s11
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s12
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s13
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s14
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s22
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s23
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s31
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s35
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s40
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s41
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s42
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s43
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s44
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s45
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s48
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s49
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s50
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s52
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s53
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s54
students or staff of the National Chiao Tung University	Homo sapiens	NCBITaxon	NCBITaxon:9607	brain	UBERON	UBERON:0000955	Participants	s55
