Sample Name	Protocol REF	Parameter Value[instrument]	Parameter Value[manufacturer]	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]
s09	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s09_060317n	s09_060317n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s09_060317n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s09	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s09_060720_1n	s09_060720_1n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s09_060720_1n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s11	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s11_060920_1n	s11_060920_1n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s11_060920_1n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s12	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s12_060710_1m	s12_060710_1m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s12_060710_1m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s12	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s12_060710_2m	s12_060710_2m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s12_060710_2m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s13	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s13_060213m	s13_060213m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s13_060213m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s13	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s13_060217m	s13_060217m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s13_060217m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s14	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s14_060319m	s14_060319m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s14_060319m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s14	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s14_060319n	s14_060319n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s14_060319n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s22	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s22_080513m	s22_080513m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s22_080513m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s22	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s22_090825n	s22_090825n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s22_090825n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s22	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s22_090922m	s22_090922m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s22_090922m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s22	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s22_091006m	s22_091006m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s22_091006m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s23	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s23_060711_1m	s23_060711_1m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s23_060711_1m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
